pos,lib.grp,name,index
A3,OsTM0_1,T577,9
C3,OsTM0_1,T578,10
E3,OsTM0_1,T579,11
G3,OsTM0_1,T580,12
I3,OsTM0_1,T581,13
K3,OsTM0_1,T582,14
M3,OsTM0_1,T583,15
O3,OsTM0_1,T584,16
A5,OsTM0_1,T585,17
C5,OsTM0_1,T586,18
E5,OsTM0_1,T587,19
G5,OsTM0_1,T588,20
I5,OsTM0_1,T589,21
K5,OsTM0_1,T590,22
M5,OsTM0_1,T591,23
O5,OsTM0_1,T592,24
A7,OsTM0_1,T593,25
C7,OsTM0_1,T594,26
E7,OsTM0_1,T595,27
G7,OsTM0_1,T596,28
I7,OsTM0_1,T597,29
K7,OsTM0_1,T598,30
M7,OsTM0_1,T599,31
O7,OsTM0_1,T600,32
A9,OsTM0_1,T601,33
C9,OsTM0_1,T602,34
E9,OsTM0_1,T603,35
G9,OsTM0_1,T604,36
I9,OsTM0_1,T605,37
K9,OsTM0_1,T606,38
M9,OsTM0_1,T607,39
O9,OsTM0_1,T608,40
A11,OsTM0_1,T609,41
C11,OsTM0_1,T610,42
E11,OsTM0_1,T611,43
G11,OsTM0_1,T612,44
I11,OsTM0_1,T613,45
K11,OsTM0_1,T614,46
M11,OsTM0_1,T615,47
O11,OsTM0_1,T616,48
A13,OsTM0_1,T617,49
C13,OsTM0_1,T618,100
E13,OsTM0_1,T619,51
G13,OsTM0_1,T620,52
I13,OsTM0_1,T621,53
K13,OsTM0_1,T622,54
M13,OsTM0_1,T623,55
O13,OsTM0_1,T624,56
A15,OsTM0_1,T625,57
C15,OsTM0_1,T626,58
E15,OsTM0_1,T627,59
G15,OsTM0_1,T628,60
I15,OsTM0_1,T629,61
K15,OsTM0_1,T630,62
M15,OsTM0_1,T631,63
O15,OsTM0_1,T632,64
A17,OsTM0_1,T633,65
C17,OsTM0_1,T634,66
E17,OsTM0_1,T635,67
G17,OsTM0_1,T636,68
I17,OsTM0_1,T637,69
K17,OsTM0_1,T638,70
M17,OsTM0_1,T639,71
O17,OsTM0_1,T640,72
A19,OsTM0_1,T641,73
C19,OsTM0_1,T642,74
E19,OsTM0_1,T643,75
G19,OsTM0_1,T644,76
I19,OsTM0_1,T645,77
K19,OsTM0_1,T646,78
M19,OsTM0_1,T647,79
O19,OsTM0_1,T648,80
A21,OsTM0_1,T649,81
C21,OsTM0_1,T650,82
E21,OsTM0_1,T651,83
G21,OsTM0_1,T652,84
I21,OsTM0_1,T653,85
K21,OsTM0_1,T654,86
M21,OsTM0_1,T655,87
O21,OsTM0_1,T656,88
A4,OsTM0_1,T657,109
C4,OsTM0_1,T658,110
E4,OsTM0_1,T659,111
G4,OsTM0_1,T660,112
I4,OsTM0_1,T661,113
K4,OsTM0_1,T662,114
M4,OsTM0_1,T663,115
O4,OsTM0_1,T664,116
A6,OsTM0_1,T665,117
C6,OsTM0_1,T666,118
E6,OsTM0_1,T667,119
G6,OsTM0_1,T668,120
I6,OsTM0_1,T669,121
K6,OsTM0_1,T670,122
M6,OsTM0_1,T671,123
O6,OsTM0_1,T672,124
A8,OsTM0_1,T673,125
C8,OsTM0_1,T674,126
E8,OsTM0_1,T675,127
G8,OsTM0_1,T676,128
I8,OsTM0_1,T677,129
K8,OsTM0_1,T678,130
M8,OsTM0_1,T679,131
O8,OsTM0_1,T680,132
A10,OsTM0_1,T681,133
C10,OsTM0_1,T682,134
E10,OsTM0_1,T683,135
G10,OsTM0_1,T684,136
I10,OsTM0_1,T685,137
K10,OsTM0_1,T686,138
M10,OsTM0_1,T687,139
O10,OsTM0_1,T688,140
A12,OsTM0_1,T689,141
C12,OsTM0_1,T690,142
E12,OsTM0_1,T691,143
G12,OsTM0_1,T692,144
I12,OsTM0_1,T693,145
K12,OsTM0_1,T694,146
M12,OsTM0_1,T695,147
O12,OsTM0_1,T696,148
A14,OsTM0_1,T697,149
C14,OsTM0_1,T698,150
E14,OsTM0_1,T699,151
G14,OsTM0_1,T700,152
I14,OsTM0_1,T701,153
K14,OsTM0_1,T702,154
M14,OsTM0_1,T703,155
O14,OsTM0_1,T704,156
A16,OsTM0_1,T705,157
C16,OsTM0_1,T706,158
E16,OsTM0_1,T707,159
G16,OsTM0_1,T708,160
I16,OsTM0_1,T709,161
K16,OsTM0_1,T710,162
M16,OsTM0_1,T711,163
O16,OsTM0_1,T712,164
A18,OsTM0_1,T713,165
C18,OsTM0_1,T714,166
E18,OsTM0_1,T715,167
G18,OsTM0_1,T716,168
I18,OsTM0_1,T717,169
K18,OsTM0_1,T718,170
M18,OsTM0_1,T719,171
O18,OsTM0_1,T720,172
A20,OsTM0_1,T721,173
C20,OsTM0_1,T722,174
E20,OsTM0_1,T723,175
G20,OsTM0_1,T724,176
I20,OsTM0_1,T725,177
K20,OsTM0_1,T726,178
M20,OsTM0_1,T727,179
O20,OsTM0_1,T728,180
A22,OsTM0_1,T729,181
C22,OsTM0_1,T730,182
E22,OsTM0_1,T731,183
G22,OsTM0_1,T732,184
I22,OsTM0_1,T733,185
K22,OsTM0_1,T734,186
M22,OsTM0_1,T735,187
O22,OsTM0_1,T736,188
A3,OsTM0_2,T737,9
C3,OsTM0_2,T738,10
E3,OsTM0_2,T739,11
G3,OsTM0_2,T740,12
I3,OsTM0_2,T741,13
K3,OsTM0_2,T742,14
M3,OsTM0_2,T743,15
O3,OsTM0_2,T744,16
A5,OsTM0_2,T745,17
C5,OsTM0_2,T746,18
E5,OsTM0_2,T747,19
G5,OsTM0_2,T748,20
I5,OsTM0_2,T749,21
K5,OsTM0_2,T750,22
M5,OsTM0_2,T751,23
O5,OsTM0_2,T752,24
A7,OsTM0_2,T753,25
C7,OsTM0_2,T754,26
E7,OsTM0_2,T755,27
G7,OsTM0_2,T756,28
I7,OsTM0_2,T757,29
K7,OsTM0_2,T758,30
M7,OsTM0_2,T759,31
O7,OsTM0_2,T760,32
A9,OsTM0_2,T761,33
C9,OsTM0_2,T762,34
E9,OsTM0_2,T763,35
G9,OsTM0_2,T764,36
I9,OsTM0_2,T765,37
K9,OsTM0_2,T766,38
M9,OsTM0_2,T767,39
O9,OsTM0_2,T768,40
A11,OsTM0_2,T769,41
C11,OsTM0_2,T770,42
E11,OsTM0_2,T771,43
G11,OsTM0_2,T772,44
I11,OsTM0_2,T773,45
K11,OsTM0_2,T774,46
M11,OsTM0_2,T775,47
O11,OsTM0_2,T776,48
A13,OsTM0_2,T777,49
C13,OsTM0_2,T778,100
E13,OsTM0_2,T779,51
G13,OsTM0_2,T780,52
I13,OsTM0_2,T781,53
K13,OsTM0_2,T782,54
M13,OsTM0_2,T783,55
O13,OsTM0_2,T784,56
A15,OsTM0_2,T785,57
C15,OsTM0_2,T786,58
E15,OsTM0_2,T787,59
G15,OsTM0_2,T788,60
I15,OsTM0_2,T789,61
K15,OsTM0_2,T790,62
M15,OsTM0_2,T791,63
O15,OsTM0_2,T792,64
A17,OsTM0_2,T793,65
C17,OsTM0_2,T794,66
E17,OsTM0_2,T795,67
G17,OsTM0_2,T796,68
I17,OsTM0_2,T797,69
K17,OsTM0_2,T798,70
M17,OsTM0_2,T799,71
O17,OsTM0_2,T800,72
A19,OsTM0_2,T801,73
C19,OsTM0_2,T802,74
E19,OsTM0_2,T803,75
G19,OsTM0_2,T804,76
I19,OsTM0_2,T805,77
K19,OsTM0_2,T806,78
M19,OsTM0_2,T807,79
O19,OsTM0_2,T808,80
A21,OsTM0_2,T809,81
C21,OsTM0_2,T810,82
E21,OsTM0_2,T811,83
G21,OsTM0_2,T812,84
I21,OsTM0_2,T813,85
K21,OsTM0_2,T814,86
M21,OsTM0_2,T815,87
O21,OsTM0_2,T816,88
A4,OsTM0_2,T817,109
C4,OsTM0_2,T818,110
E4,OsTM0_2,T819,111
G4,OsTM0_2,T820,112
I4,OsTM0_2,T821,113
K4,OsTM0_2,T822,114
M4,OsTM0_2,T823,115
O4,OsTM0_2,T824,116
A6,OsTM0_2,T825,117
C6,OsTM0_2,T826,118
E6,OsTM0_2,T827,119
G6,OsTM0_2,T828,120
I6,OsTM0_2,T829,121
K6,OsTM0_2,T830,122
M6,OsTM0_2,T831,123
O6,OsTM0_2,T832,124
A8,OsTM0_2,T833,125
C8,OsTM0_2,T834,126
E8,OsTM0_2,T835,127
G8,OsTM0_2,T836,128
I8,OsTM0_2,T837,129
K8,OsTM0_2,T838,130
M8,OsTM0_2,T839,131
O8,OsTM0_2,T840,132
A10,OsTM0_2,T841,133
C10,OsTM0_2,T842,134
E10,OsTM0_2,T843,135
G10,OsTM0_2,T844,136
I10,OsTM0_2,T845,137
K10,OsTM0_2,T846,138
M10,OsTM0_2,T847,139
O10,OsTM0_2,T848,140
A12,OsTM0_2,T849,141
C12,OsTM0_2,T850,142
E12,OsTM0_2,T851,143
G12,OsTM0_2,T852,144
I12,OsTM0_2,T853,145
K12,OsTM0_2,T854,146
M12,OsTM0_2,T855,147
O12,OsTM0_2,T856,148
A14,OsTM0_2,T857,149
C14,OsTM0_2,T858,150
E14,OsTM0_2,T859,151
G14,OsTM0_2,T860,152
I14,OsTM0_2,NA,153
K14,OsTM0_2,T862,154
M14,OsTM0_2,T863,155
O14,OsTM0_2,T864,156
A16,OsTM0_2,T865,157
C16,OsTM0_2,T866,158
E16,OsTM0_2,T867,159
G16,OsTM0_2,T868,160
I16,OsTM0_2,T869,161
K16,OsTM0_2,T870,162
M16,OsTM0_2,T871,163
O16,OsTM0_2,T872,164
A18,OsTM0_2,T873,165
C18,OsTM0_2,T874,166
E18,OsTM0_2,T875,167
G18,OsTM0_2,T876,168
I18,OsTM0_2,T877,169
K18,OsTM0_2,T878,170
M18,OsTM0_2,T879,171
O18,OsTM0_2,T880,172
A20,OsTM0_2,T881,173
C20,OsTM0_2,T882,174
E20,OsTM0_2,T883,175
G20,OsTM0_2,T884,176
I20,OsTM0_2,T885,177
K20,OsTM0_2,T886,178
M20,OsTM0_2,T887,179
O20,OsTM0_2,T888,180
A22,OsTM0_2,T889,181
C22,OsTM0_2,T890,182
E22,OsTM0_2,T891,183
G22,OsTM0_2,T892,184
I22,OsTM0_2,T893,185
K22,OsTM0_2,T894,186
M22,OsTM0_2,T895,187
O22,OsTM0_2,T896,188
A3,OsTM0_3,T897,9
C3,OsTM0_3,T898,10
E3,OsTM0_3,T899,11
G3,OsTM0_3,T900,12
I3,OsTM0_3,T901,13
K3,OsTM0_3,T902,14
M3,OsTM0_3,T903,15
O3,OsTM0_3,T904,16
A5,OsTM0_3,T905,17
C5,OsTM0_3,T906,18
E5,OsTM0_3,T907,19
G5,OsTM0_3,T908,20
I5,OsTM0_3,T909,21
K5,OsTM0_3,T910,22
M5,OsTM0_3,T911,23
O5,OsTM0_3,T912,24
A7,OsTM0_3,T913,25
C7,OsTM0_3,T914,26
E7,OsTM0_3,T915,27
G7,OsTM0_3,T916,28
I7,OsTM0_3,T917,29
K7,OsTM0_3,T918,30
M7,OsTM0_3,T919,31
O7,OsTM0_3,T920,32
A9,OsTM0_3,T921,33
C9,OsTM0_3,T922,34
E9,OsTM0_3,T923,35
G9,OsTM0_3,T924,36
I9,OsTM0_3,T925,37
K9,OsTM0_3,T926,38
M9,OsTM0_3,T927,39
O9,OsTM0_3,T928,40
A11,OsTM0_3,T929,41
C11,OsTM0_3,T930,42
E11,OsTM0_3,T931,43
G11,OsTM0_3,T932,44
I11,OsTM0_3,T933,45
K11,OsTM0_3,T934,46
M11,OsTM0_3,T935,47
O11,OsTM0_3,T936,48
A13,OsTM0_3,T937,49
C13,OsTM0_3,T938,100
E13,OsTM0_3,T939,51
G13,OsTM0_3,T940,52
I13,OsTM0_3,T941,53
K13,OsTM0_3,T942,54
M13,OsTM0_3,T943,55
O13,OsTM0_3,T944,56
A15,OsTM0_3,T945,57
C15,OsTM0_3,T946,58
E15,OsTM0_3,T947,59
G15,OsTM0_3,T948,60
I15,OsTM0_3,T949,61
K15,OsTM0_3,T950,62
M15,OsTM0_3,T951,63
O15,OsTM0_3,T952,64
A17,OsTM0_3,T953,65
C17,OsTM0_3,T954,66
E17,OsTM0_3,T955,67
G17,OsTM0_3,T956,68
I17,OsTM0_3,T957,69
K17,OsTM0_3,T958,70
M17,OsTM0_3,T959,71
O17,OsTM0_3,T960,72
A19,OsTM0_3,T961,73
C19,OsTM0_3,T962,74
E19,OsTM0_3,T963,75
G19,OsTM0_3,T964,76
I19,OsTM0_3,T965,77
K19,OsTM0_3,T966,78
M19,OsTM0_3,T967,79
O19,OsTM0_3,T968,80
A21,OsTM0_3,T969,81
C21,OsTM0_3,T970,82
E21,OsTM0_3,T971,83
G21,OsTM0_3,T972,84
I21,OsTM0_3,T973,85
K21,OsTM0_3,T974,86
M21,OsTM0_3,T975,87
O21,OsTM0_3,T976,88
A4,OsTM0_3,T977,109
C4,OsTM0_3,T978,110
E4,OsTM0_3,T979,111
G4,OsTM0_3,T980,112
I4,OsTM0_3,T981,113
K4,OsTM0_3,T982,114
M4,OsTM0_3,T983,115
O4,OsTM0_3,T984,116
A6,OsTM0_3,T985,117
C6,OsTM0_3,T986,118
E6,OsTM0_3,T987,119
G6,OsTM0_3,T988,120
I6,OsTM0_3,T989,121
K6,OsTM0_3,T990,122
M6,OsTM0_3,T991,123
O6,OsTM0_3,T992,124
A8,OsTM0_3,T993,125
C8,OsTM0_3,T994,126
E8,OsTM0_3,T995,127
G8,OsTM0_3,T996,128
I8,OsTM0_3,T997,129
K8,OsTM0_3,T998,130
M8,OsTM0_3,T999,131
O8,OsTM0_3,T1000,132
A10,OsTM0_3,T1001,133
C10,OsTM0_3,T1002,134
E10,OsTM0_3,T1003,135
G10,OsTM0_3,T1004,136
I10,OsTM0_3,T1005,137
K10,OsTM0_3,T1006,138
M10,OsTM0_3,T1007,139
O10,OsTM0_3,T1008,140
A12,OsTM0_3,T1009,141
C12,OsTM0_3,T1010,142
E12,OsTM0_3,T1011,143
G12,OsTM0_3,T1012,144
I12,OsTM0_3,T1013,145
K12,OsTM0_3,T1014,146
M12,OsTM0_3,T1015,147
O12,OsTM0_3,T1016,148
A14,OsTM0_3,T1017,149
C14,OsTM0_3,T1018,150
E14,OsTM0_3,T1019,151
G14,OsTM0_3,T1020,152
I14,OsTM0_3,T1021,153
K14,OsTM0_3,T1022,154
M14,OsTM0_3,T1023,155
O14,OsTM0_3,T1024,156
A16,OsTM0_3,T1025,157
C16,OsTM0_3,T1026,158
E16,OsTM0_3,T1027,159
G16,OsTM0_3,T1028,160
I16,OsTM0_3,T1029,161
K16,OsTM0_3,T1030,162
M16,OsTM0_3,T1031,163
O16,OsTM0_3,T1032,164
A18,OsTM0_3,T1033,165
C18,OsTM0_3,T1034,166
E18,OsTM0_3,T1035,167
G18,OsTM0_3,T1036,168
I18,OsTM0_3,T1037,169
K18,OsTM0_3,T1038,170
M18,OsTM0_3,T1039,171
O18,OsTM0_3,T1040,172
A20,OsTM0_3,T1041,173
C20,OsTM0_3,T1042,174
E20,OsTM0_3,T1043,175
G20,OsTM0_3,T1044,176
I20,OsTM0_3,T1045,177
K20,OsTM0_3,T1046,178
M20,OsTM0_3,T1047,179
O20,OsTM0_3,T1048,180
A22,OsTM0_3,T1049,181
C22,OsTM0_3,T1050,182
E22,OsTM0_3,T1051,183
G22,OsTM0_3,T1052,184
I22,OsTM0_3,T1053,185
K22,OsTM0_3,T1054,186
M22,OsTM0_3,T1055,187
O22,OsTM0_3,T1056,188
A3,OsTM0_4,T1057,9
C3,OsTM0_4,T1058,10
E3,OsTM0_4,T1059,11
G3,OsTM0_4,T1060,12
I3,OsTM0_4,T1061,13
K3,OsTM0_4,T1062,14
M3,OsTM0_4,T1063,15
O3,OsTM0_4,T1064,16
A5,OsTM0_4,T1065,17
C5,OsTM0_4,T1066,18
E5,OsTM0_4,T1067,19
G5,OsTM0_4,T1068,20
I5,OsTM0_4,T1069,21
K5,OsTM0_4,T1070,22
M5,OsTM0_4,T1071,23
O5,OsTM0_4,T1072,24
A7,OsTM0_4,T1073,25
C7,OsTM0_4,T1074,26
E7,OsTM0_4,T1075,27
G7,OsTM0_4,T1076,28
I7,OsTM0_4,T1077,29
K7,OsTM0_4,T1078,30
M7,OsTM0_4,T1079,31
O7,OsTM0_4,T1080,32
A9,OsTM0_4,T1081,33
C9,OsTM0_4,T1082,34
E9,OsTM0_4,T1083,35
G9,OsTM0_4,T1084,36
I9,OsTM0_4,T1085,37
K9,OsTM0_4,T1086,38
M9,OsTM0_4,T1087,39
O9,OsTM0_4,T1088,40
A11,OsTM0_4,T1089,41
C11,OsTM0_4,T1090,42
E11,OsTM0_4,T1091,43
G11,OsTM0_4,T1092,44
I11,OsTM0_4,T1093,45
K11,OsTM0_4,T1094,46
M11,OsTM0_4,T1095,47
O11,OsTM0_4,T1096,48
A13,OsTM0_4,T1097,49
C13,OsTM0_4,T1098,100
E13,OsTM0_4,T1099,51
G13,OsTM0_4,T1100,52
I13,OsTM0_4,T1101,53
K13,OsTM0_4,T1102,54
M13,OsTM0_4,T1103,55
O13,OsTM0_4,T1104,56
A15,OsTM0_4,T1105,57
C15,OsTM0_4,T1106,58
E15,OsTM0_4,T1107,59
G15,OsTM0_4,T1108,60
I15,OsTM0_4,T1109,61
K15,OsTM0_4,T1110,62
M15,OsTM0_4,T1111,63
O15,OsTM0_4,T1112,64
A17,OsTM0_4,T1113,65
C17,OsTM0_4,T1114,66
E17,OsTM0_4,T1115,67
G17,OsTM0_4,T1116,68
I17,OsTM0_4,T1117,69
K17,OsTM0_4,T1118,70
M17,OsTM0_4,T1119,71
O17,OsTM0_4,T1120,72
A19,OsTM0_4,T1121,73
C19,OsTM0_4,T1122,74
E19,OsTM0_4,T1123,75
G19,OsTM0_4,T1124,76
I19,OsTM0_4,T1125,77
K19,OsTM0_4,T1126,78
M19,OsTM0_4,T1127,79
O19,OsTM0_4,T1128,80
A21,OsTM0_4,T1129,81
C21,OsTM0_4,T1130,82
E21,OsTM0_4,T1131,83
G21,OsTM0_4,T1132,84
I21,OsTM0_4,T1133,85
K21,OsTM0_4,T1134,86
M21,OsTM0_4,T1135,87
O21,OsTM0_4,T1136,88
A4,OsTM0_4,T1137,109
C4,OsTM0_4,T1138,110
E4,OsTM0_4,T1139,111
G4,OsTM0_4,T1140,112
I4,OsTM0_4,T1141,113
K4,OsTM0_4,T1142,114
M4,OsTM0_4,T1143,115
O4,OsTM0_4,T1144,116
A6,OsTM0_4,T1145,117
C6,OsTM0_4,T1146,118
E6,OsTM0_4,T1147,119
G6,OsTM0_4,T1148,120
I6,OsTM0_4,T1149,121
K6,OsTM0_4,T1150,122
M6,OsTM0_4,T1151,123
O6,OsTM0_4,T1152,124
A8,OsTM0_4,T1153,125
C8,OsTM0_4,T1154,126
E8,OsTM0_4,T1155,127
G8,OsTM0_4,T1156,128
